"sector_id","date","level_detail_numeric","altitude","aspect","aspectActive"
2223,2023-01-10,3.33,2000,0,1
7112,2023-01-16,2.67,2200,0,1
2211,2022-12-30,2.33,2000,0,1
4215,2023-04-14,3.33,2200,0,1
2111,2023-02-08,2.67,1800,0,1
3112,2023-02-07,2.67,1800,0,1
5222,2023-02-12,2.33,2200,0,1
1231,2022-12-10,2.33,1800,0,1
5111,2023-02-13,2.33,2000,0,1
4241,2023-02-05,2,2000,0,1
1112,2023-02-02,2,2200,0,1
6211,2022-12-12,2.67,2000,0,1
7221,2023-01-16,2.67,2200,0,1
7222,2023-01-16,2.67,2200,0,1
3223,2022-12-26,2,2200,0,1
5215,2023-01-27,2.33,2200,0,1
5233,2023-02-04,2.33,2200,0,1
6122,2023-05-02,3,1800,0,1
1245,2023-02-01,2,2200,0,1
1121,2023-01-25,2,1800,0,1
1311,2022-12-10,3,2000,0,1
6114,2023-04-02,3,2000,0,1
1111,2023-01-17,3,1800,0,1
5233,2023-01-27,2.33,2200,0,1
1113,2023-01-17,3,1800,0,1
7221,2022-12-12,2.67,2200,0,1
1122,2022-12-12,2.33,1800,0,1
1247,2023-01-24,2,2000,0,1
1212,2022-12-12,2.33,1800,0,1
5112,2023-02-06,3,1800,0,1
5112,2023-02-12,2.33,2000,0,1
1223,2023-01-17,3,1800,0,1
1223,2022-12-12,2.67,2000,0,1
1232,2023-01-25,2,2000,0,1
1233,2023-01-25,2,2000,0,1
4123,2023-01-22,2.67,2400,0,1
